brand,n_conversations,median_conversation_length,mean_conversation_length,max_conversation_length,n_ge2_brand_responses,pct_ge2_brand_responses,n_ge3_brand_responses,pct_ge3_brand_responses,unique_customers,avg_customer_messages_per_conv,avg_brand_messages_per_conv,pct_both_customer_and_brand
ATVIAssist,11113,2.0,4.35,1390,2637,0.2373,991,0.0892,20833,2.75,1.59,1.0
sainsburys,10934,3.0,4.0,551,5004,0.4577,1968,0.18,12392,2.17,1.78,1.0
GWRHelp,10732,3.0,4.36,222,4679,0.436,1850,0.1724,12741,2.54,1.8,1.0
AskLyft,10170,2.0,2.68,173,1133,0.1114,242,0.0238,11065,1.5,1.16,1.0
AskPayPal,9589,2.0,2.83,168,1147,0.1196,225,0.0235,10995,1.62,1.18,1.0
O2,9556,2.0,3.82,176,3504,0.3667,1347,0.141,11164,2.12,1.7,1.0
Safaricom_Care,9337,3.0,3.61,243,3790,0.4059,1434,0.1536,10131,1.89,1.72,1.0
VerizonSupport,8447,4.0,5.44,651,3995,0.4729,2062,0.2441,10916,3.16,2.13,1.0
McDonalds,8132,2.0,2.4,291,76,0.0093,33,0.0041,9464,1.35,1.04,1.0
marksandspencer,7977,2.0,3.25,471,2224,0.2788,707,0.0886,8975,1.79,1.44,0.9999
ArgosHelpers,7553,3.0,3.75,83,2566,0.3397,1057,0.1399,8298,2.13,1.61,1.0
idea_cares,7522,3.0,4.63,149,3790,0.5039,1753,0.233,8296,2.53,2.09,1.0
ChaseSupport,6887,2.0,2.77,32,1340,0.1946,350,0.0508,7432,1.46,1.28,1.0
AirAsiaSupport,6763,2.0,3.99,802,2430,0.3593,1114,0.1647,7761,2.09,1.9,0.9999
AldiUK,6632,2.0,2.85,471,848,0.1279,215,0.0324,7861,1.6,1.22,1.0
BofA_Help,6583,3.0,3.78,392,3400,0.5165,1312,0.1993,7594,1.83,1.93,1.0
SW_Help,6224,3.0,4.62,203,2861,0.4597,1228,0.1973,8218,2.62,1.97,1.0
Ask_WellsFargo,6036,2.0,2.76,89,1164,0.1928,226,0.0374,6648,1.49,1.26,1.0
AirbnbHelp,6033,2.0,3.33,650,1714,0.2841,580,0.0961,6611,1.85,1.47,1.0
Morrisons,5960,3.0,3.57,471,2510,0.4211,879,0.1475,6589,1.85,1.7,0.9997
AskeBay,5662,2.0,3.74,49,2194,0.3875,918,0.1621,6062,2.0,1.71,1.0
AlaskaAir,5629,2.0,3.0,123,1192,0.2118,325,0.0577,6054,1.66,1.33,1.0
JetBlue,5181,3.0,3.44,36,1770,0.3416,614,0.1185,5575,1.88,1.55,1.0
AdobeCare,5094,3.0,4.12,51,2017,0.396,1085,0.213,5562,2.17,1.95,1.0
CoxHelp,4874,2.0,3.75,651,1707,0.3502,626,0.1284,5728,2.06,1.61,1.0
MicrosoftHelps,4458,4.0,5.5,89,3024,0.6783,1680,0.3769,5112,2.94,2.54,1.0
AskAmex,4300,4.0,4.86,50,3279,0.7626,1696,0.3944,4607,2.2,2.64,1.0
airtel_care,4025,3.0,4.53,129,1986,0.4934,1033,0.2566,4762,2.06,2.45,0.9995
HPSupport,3841,3.0,3.27,24,2099,0.5465,666,0.1734,3958,1.39,1.87,1.0
LondonMidland,3678,3.0,4.41,56,1552,0.422,646,0.1756,4643,2.53,1.85,0.9995
GreggsOfficial,3344,2.0,3.27,143,795,0.2377,156,0.0467,4013,1.91,1.35,1.0
AzureSupport,3309,3.0,4.45,94,1867,0.5642,1010,0.3052,3563,2.16,2.29,0.9964
GloCare,3219,3.0,4.65,144,1400,0.4349,666,0.2069,3771,2.67,1.96,1.0
DropboxSupport,3180,3.0,3.65,103,1464,0.4604,599,0.1884,3525,1.77,1.87,1.0
AskPapaJohns,3153,2.0,2.83,56,509,0.1614,125,0.0396,3554,1.59,1.24,1.0
TacoBellTeam,3110,2.0,2.89,25,788,0.2534,156,0.0502,3273,1.58,1.31,1.0
Postmates_Help,3010,2.0,2.59,48,226,0.0751,50,0.0166,3228,1.47,1.11,1.0
CenturyLinkHelp,2988,2.0,3.3,651,578,0.1934,116,0.0388,3647,1.92,1.27,1.0
VirginAtlantic,2771,3.0,3.72,30,972,0.3508,358,0.1292,3005,2.14,1.56,0.9996
Walmart,2406,2.0,2.52,91,187,0.0777,31,0.0129,2762,1.4,1.1,0.9992
AskCiti,2327,3.0,3.41,37,981,0.4216,476,0.2046,2494,1.65,1.75,1.0
nationalrailenq,2275,4.0,4.46,60,1199,0.527,487,0.2141,2641,2.42,1.95,0.993
VirginAmerica,2113,2.0,3.06,40,461,0.2182,143,0.0677,2216,1.7,1.33,1.0
ATT,2061,2.0,3.69,651,389,0.1887,116,0.0563,3046,2.17,1.35,1.0
KFC_UKI_Help,2017,2.0,2.51,28,64,0.0317,8,0.004,2152,1.47,1.04,1.0
DellCares,1996,4.0,5.02,84,1287,0.6448,790,0.3958,2393,2.32,2.67,0.9945
askpanera,1978,2.0,2.47,12,157,0.0794,18,0.0091,2054,1.38,1.09,1.0
IHGService,1746,2.0,3.13,26,648,0.3711,158,0.0905,1844,1.62,1.51,1.0
TfL,1572,2.0,3.27,68,450,0.2863,123,0.0782,1732,1.83,1.43,1.0
NikeSupport,1563,4.0,4.99,229,807,0.5163,449,0.2873,1674,2.76,2.22,1.0
ArbysCares,1555,2.0,2.7,32,265,0.1704,52,0.0334,1682,1.48,1.22,1.0
DoorDash_Help,1509,2.0,2.54,24,49,0.0325,10,0.0066,1692,1.49,1.05,1.0
GoDaddyHelp,1451,2.0,3.1,19,358,0.2467,93,0.0641,1574,1.74,1.35,1.0
DunkinDonuts,1258,2.0,2.27,13,29,0.0231,3,0.0024,1342,1.25,1.03,1.0
sizehelpteam,1251,2.0,2.82,35,162,0.1295,31,0.0248,1382,1.64,1.18,1.0
AsurionCares,1074,3.0,4.3,91,433,0.4032,183,0.1704,1237,2.39,1.77,1.0
Kimpton,1054,2.0,2.73,12,207,0.1964,51,0.0484,1138,1.46,1.27,1.0
SCsupport,980,2.0,3.0,28,234,0.2388,67,0.0684,1013,1.64,1.36,1.0
AWSSupport,904,2.0,2.8,16,109,0.1206,16,0.0177,1058,1.66,1.14,1.0
NortonSupport,899,3.0,4.71,52,404,0.4494,211,0.2347,984,2.46,2.24,1.0
AskRBC,839,2.0,2.9,25,147,0.1752,23,0.0274,947,1.69,1.21,1.0
NeweggService,796,3.0,3.12,15,196,0.2462,55,0.0691,920,1.76,1.36,1.0
VMUcare,727,3.0,4.5,245,238,0.3274,110,0.1513,1088,2.56,1.9,1.0
PandoraSupport,724,2.0,3.17,229,146,0.2017,34,0.047,875,1.73,1.44,1.0
HiltonHelp,716,2.0,2.83,24,73,0.102,20,0.0279,813,1.67,1.16,1.0
BoostCare,673,2.0,3.33,74,144,0.214,42,0.0624,812,1.89,1.35,1.0
PearsonSupport,604,2.0,3.06,25,137,0.2268,46,0.0762,655,1.66,1.39,0.9983
GooglePlayMusic,545,3.0,3.55,23,169,0.3101,64,0.1174,563,2.07,1.48,1.0
ask_progressive,543,2.0,2.6,22,49,0.0902,8,0.0147,587,1.47,1.13,1.0
USCellularCares,541,4.0,5.11,55,263,0.4861,151,0.2791,641,2.84,2.18,1.0
YahooCare,538,3.0,4.05,34,220,0.4089,71,0.132,748,2.36,1.68,1.0
MTNC_Care,529,3.0,3.74,25,157,0.2968,59,0.1115,724,2.26,1.48,0.9962
asksalesforce,486,2.0,3.39,30,153,0.3148,41,0.0844,561,1.93,1.46,1.0
MOO,478,2.0,2.98,17,91,0.1904,31,0.0649,541,1.66,1.32,1.0
askvisa,473,2.0,2.98,22,180,0.3805,40,0.0846,515,1.47,1.5,1.0
OPPOCareIN,451,3.0,4.49,52,201,0.4457,93,0.2062,664,2.54,1.95,0.9978
AskVirginMoney,396,4.0,4.87,35,232,0.5859,135,0.3409,409,2.56,2.31,1.0
KeyBank_Help,374,2.5,3.31,15,126,0.3369,41,0.1096,397,1.81,1.48,1.0
AskRobinhood,353,2.0,2.91,67,36,0.102,11,0.0312,444,1.69,1.22,1.0
AskSeagate,346,3.0,3.95,42,141,0.4075,63,0.1821,361,2.05,1.85,1.0
AskTigogh,322,3.0,5.08,40,158,0.4907,94,0.2919,465,2.86,2.22,1.0
