example_id,conv_id,target_tweet_id,target_author_id,target_created_ts,customer_message,prior_context,intent,intent_confidence,secondary_intent,resolution_observable,resolution_type,escalation_label,escalation_reason,noise_flag,ambiguity_flag,annotator_notes,sampling_bucket_primary,is_conflict,sample_slice,is_first_inbound,target_position,n_inbound_total,conv_tweets_total,n_brand_tweets_total,message_chars,message_words,has_brand_reply_after,reference_brand_reply,data_split,sample_source,includes_future_context,leakage_safe
BA_1392,1392,8161,117424,2017-11-02 18:57:10+05:30,@British_Airways Hi I'm trying to check in online but it won't let me continue without a visa number. Im travelling to USA so I have an ESTA,,website_or_app_issue,high,,INFORMATION_PROVIDED,direct_answer,AUTO_HANDLE,,FALSE,none,Online check-in blocked by visa-number prompt for an ESTA traveller; agent gave a cookie-bypass workaround in-thread.,website_or_app_issue,False,main,True,1,1,3,2,140,27,True,"@117424 Hi David, there should still be an option to bypass adding a Visa. If you delete your cookies and refresh, it might give you the 1/2",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_147482,147482,623658,171454,2017-10-04 18:27:02+05:30,@British_Airways flying from JNB with a friend whose ID stolen.  Have police case# and certified copy.  You won’t let her board.  Help,,contact_or_human_escalation_request,high,,INFORMATION_PROVIDED,direct_answer,ESCALATE,legal_or_regulatory_risk,FALSE,none,Friend's stolen ID blocks boarding; brand: cannot accept without correct travel documents.,baggage,False,main,True,1,4,6,2,134,22,True,"@171454 Apologies for our late reply, Malcolm. We're unable to accept customers without the correct travel documents. We hope your friend 1/2",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_150929,150929,638576,271448,2017-10-05 05:10:33+05:30,@British_Airways I have a tkt for a flt 2moro fm BHD-LHR AT 0645 which allows me to change the time of flight on the same day if there is1/3,,information_or_policy,high,booking_change_or_cancellation,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,none,Fare-rule query about same-day changes; agent offered to call.,information_or_policy,False,main,True,1,1,3,2,140,29,True,"@271448 Could we give you a call please, Ryan? We'll need your booking ref, full name, email and contact number. Could you also let us know the 1/2",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_152445,152445,644389,272955,2017-10-27 19:06:14+05:30,"@British_Airways really disappointed with the level of customer support, just no care unless you’re a club member",,contact_or_human_escalation_request,medium,,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,complaint_or_human_judgment,FALSE,unclear_intent,Dissatisfaction complaint with no specifics; brand asked for DM details.,other,False,main,True,1,1,3,2,113,17,True,"@272955 Hi David, is there anything we can help with? If so, please DM the full details with any references and your email, full address and 1/2",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_154364,154364,651004,274821,2017-11-08 18:37:40+05:30,@British_Airways Is it possible to change the return date for one person on my booking and not the other?,,booking_change_or_cancellation,high,,INFORMATION_PROVIDED,direct_answer,AUTO_HANDLE,,FALSE,none,Change the return date for only one passenger; Manage My Booking guidance.,information_or_policy,False,main,True,1,4,7,3,105,19,True,"@274821 Hi Gabi, through Manage My Booking it should ask which passenger you'd like to select to make changes to. 1/2",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_155506,155506,655639,275974,2017-11-23 00:17:52+05:30,@British_Airways won't let me check in online for my flight tomorrow morning. Help a brother out,,website_or_app_issue,high,,INFORMATION_PROVIDED,direct_answer,AUTO_HANDLE,,FALSE,none,Online check-in blocked for tomorrow's flight; check in at the airport.,website_or_app_issue,False,main,True,1,2,4,2,96,16,True,"@275974 Hi there, if you're unable to check in online, you will need to check in at the airport. ^Helen",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_163041,163041,683726,283186,2017-10-05 22:07:22+05:30,"@British_Airways trying to call, 15 minute wait time for Silver members! Do you have on-line chat?",,contact_or_human_escalation_request,high,booking_change_or_cancellation,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,multi_intent,15-minute phone wait; asks about online chat; brand offers DM change help.,contact_or_complaint,True,borderline,True,1,4,6,2,98,16,True,"@283186 Hi James, we can certainly help you change your flight. Please DM your full name, booking reference, email address, postal address, and",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_163928,163928,686826,283992,2017-10-05 20:58:20+05:30,@British_Airways sitting in Munich flight is delayed and no one says anything. Previous flight was two hours delayed. Becoming typical,,flight_disruption,high,,INFORMATION_PROVIDED,link_or_reference,AUTO_HANDLE,,FALSE,none,Munich delay with no communication; brand pointed to the tracker link.,flight_disruption,True,borderline,True,1,2,4,2,134,20,True,"@283992 Hi Neil, sorry to hear your flight has been delayed. Please click on the following link for regular updates https://t.co/Md01pB7Av4.^Jo",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_167682,167682,702171,287685,2017-11-23 21:29:02+05:30,".@British_Airways Your crew and customer service people were awesome this past Monday. I was on a perpetually-delayed BA434 to Amsterdam, but BA employees were very friendly, transparent, and apologetic.  Just wanted to say thank you.",,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Praise of crew during a prolonged delay on BA434.,flight_disruption,False,main,True,1,1,2,1,234,35,True,"@287685 We're glad to hear you had great service, J. If you'd like to pass on your thanks in a more formal manner, you can do so here https://t.co/XsFvk7mfkC ^Paul",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_167696,167696,702203,287699,2017-11-23 19:28:01+05:30,@British_Airways perhaps you should change the name of your executive club to “elite “club” #downgrade #notfornormaltravelers #unhappy,,contact_or_human_escalation_request,medium,,UNRESOLVED,empathy_only,ESCALATE,complaint_or_human_judgment,FALSE,unclear_intent,Sarcastic vent about an Executive Club name change; no concrete request.,booking_change_or_cancellation,False,main,True,1,1,2,1,134,17,True,@287699 Is there something we can help you with this evening? ^Julie,golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_168706,168706,705392,288626,2017-11-23 22:10:35+05:30,Dear @British_Airways - decided to give you one last try after years of frustration. You have just cancelled my family's flights for next summer and feel that a flight 10hrs later from a different airport is ok to offer instead. Just awful as ever....,,flight_disruption,high,booking_change_or_cancellation,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,complaint_or_human_judgment,FALSE,multi_intent,BA cancelled summer flights and offered an unattractive alternative; DM escalation for rebooking/compensation.,flight_disruption,True,borderline,True,1,1,2,1,251,44,True,"@288626 Hi Owain, we're sorry to hear your flight has been cancelled. We can take a look at this for you if you can send us a DM with some more info. Please include your full name, booking reference and email address for security purposes. Thanks. ^JulieR",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_174566,174566,728062,294415,2017-10-06 20:34:36+05:30,"@British_Airways Two flights in a row my baggage has not come on the same flight as me. Am a loyal customer, but not sure this can again.",,baggage,high,,UNRESOLVED,action_offered,ESCALATE,other,FALSE,none,Bags not arriving on the same flight twice; bag-return promised but no in-thread confirmation.,baggage,False,main,True,1,1,2,1,137,27,True,"@294415 This is disappointing to hear, Daniel, we will get your bag back to you ASAP ^Al.",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_175984,175984,734566,295757,2017-11-25 13:10:09+05:30,"@British_Airways Possible bug on your website? Booked 2 awards for 2 pax each, both times confirmation page said I’ll get a confirmation e-mail to e-mail address of person 1 but it went to person 2 in the booking.",,website_or_app_issue,high,,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,none,Confirmation email went to the wrong ticket holder after award booking; DM investigation.,website_or_app_issue,False,main,True,1,1,2,1,213,38,True,"@295757 Thanks for bringing this to our attention, Markus. We can take a look into this. Please DM us your booking reference, Executive Club number, email address and contact number. ^Linda",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_177915,177915,742566,297551,2017-10-07 01:08:55+05:30,@British_Airways Hi. In need of urgent technical assistance with error in name on booking.,,booking_change_or_cancellation,medium,,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,unclear_intent,Technical assistance with an error in the name on a booking; handled via DM.,website_or_app_issue,False,main,True,1,1,3,2,90,14,True,"@297551 Hi Joseph, we'll certainly look into this for you. Please DM your full name, booking reference, email address, postal address, and the",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_179834,179834,750629,124723,2017-10-11 20:11:43+05:30,@British_Airways Do you sell model aircraft on board? Specifically the A319 or A320. NOTHING shows on the HighLife online store. Thanks,,information_or_policy,high,,INFORMATION_PROVIDED,link_or_reference,AUTO_HANDLE,,FALSE,none,Model aircraft sold on board? Order link provided.,website_or_app_issue,False,main,True,1,4,7,3,135,21,True,"@124723 Hi Mark, sorry these items are not easy to find. Please click on the following link to order https://t.co/J4kalkfu31^Jo",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_181319,181319,756601,300816,2017-10-11 21:10:10+05:30,"@British_Airways Flew over a week ago WITHOUT my pre-purchased seats.  Only response was to not ""chase"" a response.  Where's my refund?",,refund_or_compensation,high,seat_or_upgrade,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,payment_or_refund,FALSE,multi_intent,Flew without pre-purchased seats; explicitly asks for a refund of seat fees.,seat_or_upgrade,True,borderline,True,1,3,4,1,135,21,True,"@300816 Hi Donna, please DM us your booking reference, telephone number, email and postal address.  We can check on this for you.  ^Jm",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_183788,183788,766186,303111,2017-11-25 14:17:30+05:30,@British_Airways  Frequent travellers top tip: elastic laces like wot triathletes use. Increase speed through airport security while only looking a bit silly,,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Off-topic travel tip about elastic laces.,account_or_security,False,main,True,1,1,2,1,157,22,True,"@303111 Great little tip, Matt. Every little helps! ^Linda",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_193533,193533,807551,312439,2017-10-12 23:25:42+05:30,😍 @British_Airways reasons for delays today the plane is too heavy 2 take off in correct direction without running out of fuel on way back 😂,,noise_or_off_topic_or_ack,medium,flight_disruption,APOLOGY_ONLY,empathy_only,AUTO_HANDLE,,TRUE,none,Joking sarcasm about delay causes; no real request; brand apologised and asked which flight.,noise_or_off_topic,False,main,True,1,4,7,3,140,26,True,"@312439 Hi Tom, which flight were you on? We're sorry for the delay to your flight. ^Sam",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_197365,197365,823312,316127,2017-10-13 03:29:29+05:30,My flight last night into @119137 with @British_Airways. Really nice view of the London Eye and the bridges across the Thames. https://t.co/rJAFeZXCdG,,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Scenery photo of the London Eye from a flight.,other,False,main,True,1,1,2,1,150,22,True,"@316127 What a great spectacle, Conrad. The best seat in the house. ^SR",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_207161,207161,864704,146810,2017-10-20 22:48:15+05:30,Well that was a nice flight to @119137 @British_Airways https://t.co/6gwWQOzfsP,,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Nice-flight post.,other,False,main,True,1,1,2,1,79,10,True,"@146810 That’s great to hear Stewart, we look forward to welcoming you onboard again soon. ^Kieran",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_213215,213215,888938,331050,2017-10-13 19:05:00+05:30,"@British_Airways is there something wrong regarding my flight from Aarhus to Sthlm, Bromma today at 1655? Ba8291",,flight_disruption,high,,INFORMATION_PROVIDED,status_update,AUTO_HANDLE,,FALSE,none,Asks whether anything is wrong with a flight; route change confirmed and apology given.,information_or_policy,False,main,True,1,1,2,1,112,17,True,"@331050 Hi Erik, we can see your flight has now departed but there was a route change. We're really sorry for the inconvenience. ^Sam",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_216956,216956,904111,334640,2017-10-26 14:33:52+05:30,"@British_Airways Good morning, it's been one month I cancelled my flight, still not refunded for taxes. Could you please check ?",,refund_or_compensation,high,,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,payment_or_refund,FALSE,none,One month since cancellation; taxes still not refunded; DM lookup requested.,refund_or_compensation,True,borderline,True,1,2,3,1,128,21,True,"@334640 Good morning, Laura-Mai. Could you please DM us your booking reference and email address. We can take a look for you. ^Alex C",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_231852,231852,962911,348504,2017-10-13 22:20:49+05:30,@British_Airways v very poor failing to deliver my bags and customer service ignoring my emails DON’T FLY BRITISH AIRWAYS,,baggage,high,contact_or_human_escalation_request,INFORMATION_PROVIDED,link_or_reference,ESCALATE,other,FALSE,none,Bags not delivered and emails ignored; brand points to a bag-tracker link and asks if bags are still missing.,baggage,False,main,True,1,1,4,3,121,19,True,"@348504 Hi Said, it sounds like you've had a bad experience. Are your bags still missing? If so, you can check for any updates at 1/3",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_235380,235380,976985,351717,2017-10-21 22:34:17+05:30,"@British_Airways messed up again! Delayed flight from Linate, 15 kids had 1 hr to transfer at LHR but  didn't let them on US flight. Bravo!",,flight_disruption,high,,UNRESOLVED,action_offered,UNCERTAIN,other,FALSE,none,Delayed Linate flight; children could not make the US connection; brand asks whether rebooked.,flight_disruption,False,main,True,1,1,2,1,139,25,True,@351717 I'm sorry to hear the kids trip was disrupted. Did they manage to get their connection rebooked? ^Linds,golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_236326,236326,981059,352613,2017-10-14 05:58:37+05:30,@British_Airways Well I've booked with a travel agency and have let them know and they have listed it and booked my flight hopefully you guys get it.,"[CUSTOMER @ 2017-10-13 17:10:47+05:30] @British_Airways do you have halal in flight meals from Singapore to Heathrow?
[BRAND @ 2017-10-13 23:43:44+05:30] @352613 Hi Umar, we do have a variety of special meals to cater for dietary requirements.  You do need to notify us in advance of any requirements.",information_or_policy,low,,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,unclear_intent,"Later-position update: booked the special meal via a travel agency; no new actionable ask, thread is a special-meal request.",other,False,main,False,3,2,4,2,149,27,True,"@352613 Hi Umar. If you DM your booking reference, email and contact number we'll take a look for you. ^Anthony",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_24151,24151,119819,142588,2017-11-24 02:56:04+05:30,"Dear @British_Airways How does a flight get cancelled 30mins before taking off on technical grounds? You would’ve known there was a problem long before passengers started checking in &amp; advised accordingly, you have our mobile number. 4 hour wait is unacceptable",,flight_disruption,high,contact_or_human_escalation_request,INFORMATION_PROVIDED,status_update,ESCALATE,complaint_or_human_judgment,FALSE,multi_intent,Last-minute technical cancellation; demands an explanation; brand explained likely cause. Disruption plus complaint.,flight_disruption,True,borderline,True,1,12,19,7,265,41,True,@142588 They may have been trying to fix the issue or find a replacement aircraft. We're sorry for any inconvenience caused and do only cancel a flight if there's no alternative. Let us know if you need help with anything else. ^Stephen,golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_241606,241606,1003082,327266,2017-10-22 12:23:17+05:30,"Just back from amazing @42768 cheering on #TeamUK. Plenty of sleep on plane @British_Airways, now ready for @42769 this eve",,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Event recap post praising the flight.,noise_or_off_topic,False,main,True,1,1,2,1,123,20,True,"@327266 That’s great to hear Shane, we hope you had a great flight. ^Kieran",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_248481,248481,1029841,363665,2017-10-12 22:13:55+05:30,@British_Airways hi. I need to change my passport no. on upcoming flight. Asked for help online but haven't heard back. Can you help please?,,booking_change_or_cancellation,high,website_or_app_issue,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,multi_intent,Needs to change a passport number on an upcoming booking; prior online help unanswered.,website_or_app_issue,True,borderline,True,1,1,3,2,140,24,True,"@363665 Hi Hayley, can you DM your booking reference, full name and contact number? Please also include the passport number, expiry date (1/2)",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_249521,249521,1033943,364608,2017-10-22 22:18:44+05:30,Just a little traffic at @119137 but I'm sure @British_Airways will have us on our way soon. Loving the new safety video btw https://t.co/QIqI8d7PvT,,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Airport traffic note plus safety-video praise.,other,False,main,True,1,1,2,1,148,24,True,"@364608 We hope you weren't stuck in the queue for too long, Sean! We're pleased you enjoyed the new safety video! ^Beth",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_252288,252288,1045747,367220,2017-10-23 15:17:52+05:30,@British_Airways Currently waiting for a delayed flight to Kuala Lumper. To catch a BA flight to the U.K. at 23:10 (BA0034)....,,flight_disruption,high,,INFORMATION_PROVIDED,status_update,AUTO_HANDLE,,FALSE,none,Waiting for a connecting flight he believes is delayed; brand clarified the KUL flight is not delayed.,flight_disruption,False,main,True,1,4,6,2,127,21,True,"@367220 Can you clarify what flight you're waiting for, Marcus? The flight to Kuala Lumpur today isn't currently showing as delayed. ^Leanne",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_252735,252735,1047558,367598,2017-10-23 02:29:44+05:30,@British_Airways do your LHR-LAX flights have WiFi and power outlets in all seats? Thanks,,information_or_policy,high,,INFORMATION_PROVIDED,direct_answer,AUTO_HANDLE,,FALSE,none,WiFi/power outlets on LHR-LAX; brand says being worked on for the future.,seat_or_upgrade,False,main,True,1,1,2,1,89,14,True,"@367598 Hi Adam, this is something we're working on for the future, watch this space! ^Karen",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_255518,255518,1059142,300160,2017-10-23 10:36:40+05:30,@British_Airways Who do i contact to get an international flight  datechanged?,,booking_change_or_cancellation,high,information_or_policy,INFORMATION_PROVIDED,link_or_reference,AUTO_HANDLE,,FALSE,multi_intent,Who to contact to change an international flight date; MMB link given.,contact_or_complaint,False,main,True,1,1,3,2,78,11,True,"@300160 Hi Mike, you should be able to make changes on https://t.co/2Ty8CEO0Dq, under Manage My Booking using your booking reference, or you can 1/2",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_26002,26002,127275,144580,2017-11-24 08:36:53+05:30,@British_Airways Hi. One question. How can I check the booking class of my flight? It's not shown in e-ticket receipt or boarding pass.,,information_or_policy,high,,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,none,How to check booking class; requires account lookup so moved to DM.,information_or_policy,False,main,True,1,2,3,1,135,23,True,"@144580 Hi, we can check this for you. Please DM us your booking reference, full name and email address. Thanks. ^Natalie",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_261585,261585,1083211,375516,2017-10-23 16:58:23+05:30,"@British_Airways since flight BA0775 is delayed over 2 hours, where can I claim my free food and drink in ARN departures?",,flight_disruption,high,refund_or_compensation,UNRESOLVED,empathy_only,AUTO_HANDLE,,FALSE,multi_intent,BA0775 delayed 2h; asks where to claim food/drink (EU261); reply does not answer clearly and is truncated at 1/2.,flight_disruption,False,main,True,1,3,7,4,121,21,True,@375516 Hi Owen. Apologies for the late reply and I'm sorry to hear your flight was delayed today too. I do hope you managed to speak to a 1/2,golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_264086,264086,1092617,299162,2017-10-15 00:38:08+05:30,@British_Airways Hi. I'm unable to to add my Avios Number to my Booking?,,booking_change_or_cancellation,medium,,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,unclear_intent,Unable to add an Avios number to a booking; brand offers to update it via DM.,refund_or_compensation,False,main,True,1,2,4,2,72,13,True,"@299162 Apologies for our late reply, Henry. We can update your booking for you. DM us your booking ref, Executive Club number, 1/2",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_269432,269432,1113047,382689,2017-10-14 00:05:33+05:30,Brilliant afternoon watching fashion show with @321095. Fab! Thanks @British_Airways. Such great fun,,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Fashion-show fun thanks.,noise_or_off_topic,False,main,True,1,1,2,1,100,13,True,"@382689 You're welcome, Laura. We're glad to hear you enjoyed it! ^Anthony",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_272277,272277,1124753,352783,2017-10-24 00:19:45+05:30,well done @British_Airways landing it low vis at @47102 when @120200 turned back to LGW #NiceOneBA,,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Praise for a low-visibility landing.,other,False,main,True,1,1,2,1,98,16,True,"@352783 Hi Russell, sorry for the late reply. Thank you for your lovely feedback. Have a good day! ^Danielle.",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_278441,278441,1150105,390639,2017-10-24 14:03:14+05:30,@British_Airways you are a joke!  From seven flights a day to and from Belfast now down to Three or four depends on the day. Just pathetic!,,contact_or_human_escalation_request,medium,,INFORMATION_PROVIDED,status_update,ESCALATE,complaint_or_human_judgment,FALSE,none,Complaint about reduced Belfast route frequency; brand explains schedule review.,other,False,main,True,1,1,3,2,139,26,True,"@390639 Hi, we're sorry you're unhappy with the changes to our schedules to Belfast. We review our schedules continuously, and it's 1/2",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
