example_id,review_priority,customer_message,current_intent,recommended_intent,current_escalation,recommended_escalation,recommended_escalation_reason,ambiguity_flag,intent_review_status,escalation_review_status,status,human_decision_accept,human_final_intent,human_final_escalation,human_notes
BA_167682,HIGH,".@British_Airways Your crew and customer service people were awesome this past Monday. I was on a perpetually-delayed BA434 to Amsterdam, but BA employees were very friendly, transparent, and apologetic.  Just wanted to say thank you.",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_167696,HIGH,@British_Airways perhaps you should change the name of your executive club to “elite “club” #downgrade #notfornormaltravelers #unhappy,contact_or_human_escalation_request,non_support_or_acknowledgement,ESCALATE,AUTO_HANDLE,,unclear_intent,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_168706,HIGH,Dear @British_Airways - decided to give you one last try after years of frustration. You have just cancelled my family's flights for next summer and feel that a flight 10hrs later from a different airport is ok to offer instead. Just awful as ever....,flight_disruption,flight_disruption,ESCALATE,ESCALATE,complaint_or_human_judgment,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_177915,HIGH,@British_Airways Hi. In need of urgent technical assistance with error in name on booking.,booking_change_or_cancellation,booking_change_or_cancellation,ESCALATE,ESCALATE,account_specific,unclear_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_181319,HIGH,"@British_Airways Flew over a week ago WITHOUT my pre-purchased seats.  Only response was to not ""chase"" a response.  Where's my refund?",refund_or_compensation,refund_or_compensation,ESCALATE,ESCALATE,payment_or_refund,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_183788,HIGH,@British_Airways  Frequent travellers top tip: elastic laces like wot triathletes use. Increase speed through airport security while only looking a bit silly,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_193533,HIGH,😍 @British_Airways reasons for delays today the plane is too heavy 2 take off in correct direction without running out of fuel on way back 😂,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_197365,HIGH,My flight last night into @119137 with @British_Airways. Really nice view of the London Eye and the bridges across the Thames. https://t.co/rJAFeZXCdG,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_207161,HIGH,Well that was a nice flight to @119137 @British_Airways https://t.co/6gwWQOzfsP,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_231852,HIGH,@British_Airways v very poor failing to deliver my bags and customer service ignoring my emails DON’T FLY BRITISH AIRWAYS,baggage,baggage,ESCALATE,ESCALATE,other,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_235380,HIGH,"@British_Airways messed up again! Delayed flight from Linate, 15 kids had 1 hr to transfer at LHR but  didn't let them on US flight. Bravo!",flight_disruption,flight_disruption,UNCERTAIN,UNCERTAIN,other,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_236326,HIGH,@British_Airways Well I've booked with a travel agency and have let them know and they have listed it and booked my flight hopefully you guys get it.,information_or_policy,information_or_policy,ESCALATE,ESCALATE,account_specific,unclear_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_24151,HIGH,"Dear @British_Airways How does a flight get cancelled 30mins before taking off on technical grounds? You would’ve known there was a problem long before passengers started checking in &amp; advised accordingly, you have our mobile number. 4 hour wait is unacceptable",flight_disruption,flight_disruption,ESCALATE,ESCALATE,complaint_or_human_judgment,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_241606,HIGH,"Just back from amazing @42768 cheering on #TeamUK. Plenty of sleep on plane @British_Airways, now ready for @42769 this eve",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_248481,HIGH,@British_Airways hi. I need to change my passport no. on upcoming flight. Asked for help online but haven't heard back. Can you help please?,booking_change_or_cancellation,booking_change_or_cancellation,ESCALATE,ESCALATE,account_specific,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_249521,HIGH,Just a little traffic at @119137 but I'm sure @British_Airways will have us on our way soon. Loving the new safety video btw https://t.co/QIqI8d7PvT,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_255518,HIGH,@British_Airways Who do i contact to get an international flight  datechanged?,booking_change_or_cancellation,booking_change_or_cancellation,AUTO_HANDLE,AUTO_HANDLE,,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_261585,HIGH,"@British_Airways since flight BA0775 is delayed over 2 hours, where can I claim my free food and drink in ARN departures?",flight_disruption,flight_disruption,AUTO_HANDLE,AUTO_HANDLE,,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_264086,HIGH,@British_Airways Hi. I'm unable to to add my Avios Number to my Booking?,booking_change_or_cancellation,booking_change_or_cancellation,ESCALATE,ESCALATE,account_specific,unclear_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_269432,HIGH,Brilliant afternoon watching fashion show with @321095. Fab! Thanks @British_Airways. Such great fun,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_272277,HIGH,well done @British_Airways landing it low vis at @47102 when @120200 turned back to LGW #NiceOneBA,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_278441,HIGH,@British_Airways you are a joke!  From seven flights a day to and from Belfast now down to Three or four depends on the day. Just pathetic!,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,AUTO_HANDLE,,none,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_288483,HIGH,Dear @British_Airways Sorry but again problem with my seating. I thought your policy was first come first serves basis? What’s wrong!! 😩,seat_or_upgrade,seat_or_upgrade,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_294773,HIGH,@British_Airways How can I contact you regarding cancelling a return flight? I can not phone as I live abroad and you do not have an email address???,booking_change_or_cancellation,booking_change_or_cancellation,ESCALATE,ESCALATE,account_specific,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_321039,HIGH,@British_Airways Hooray for BA.#ThomasCookAirlines bumped my son in Cancun. BA flying him home !,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_32439,HIGH,"@British_Airways Hi, when travelling on an international flight, is it fine for me to carry a skateboard as a hand luggage?",baggage,baggage,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_32854,HIGH,Well @British_Airways has definitely gone downhill quite sharply recently. This is the current food situation in the Business Class lounge. 📸 by my Dad. https://t.co/3sXtIgLNUz,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,AUTO_HANDLE,,none,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_331684,HIGH,"Filthy seat, careless service and 6500€ wasted on a business class ticket @British_Airways to LA with the new A380. Another disappointment. https://t.co/y8a3WeLnVz",contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,ESCALATE,complaint_or_human_judgment,multi_intent,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_334633,HIGH,@British_Airways flew on your 777 to St Lucia from Gatwick. Big disappointment. Poor food and enterntainment system from the 80’s 👎🏽,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,AUTO_HANDLE,,none,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_33704,HIGH,@British_Airways the worst customer service I’ve experienced! Been on the phone trying to sort out my flight today for an hour and have had no help at all.. disgraceful https://t.co/2BmAoWZocK,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,ESCALATE,account_specific,none,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_337964,HIGH,It seems that @British_Airways is now Ryanair but twice as expensive https://t.co/05qsK5KYAJ,contact_or_human_escalation_request,non_support_or_acknowledgement,ESCALATE,AUTO_HANDLE,,unclear_intent,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_349968,HIGH,@British_Airways what is the best number to call in an emergency!,contact_or_human_escalation_request,information_or_policy,AUTO_HANDLE,AUTO_HANDLE,,none,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_351856,HIGH,Hi @British_Airways I'm filing a lawsuit against you guys in the US. Where should I have my lawyer send the paperwork?,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,ESCALATE,legal_or_regulatory_risk,none,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_358073,HIGH,@British_Airways Shockingly-bleak connection from Montego Bay to Kingston. A disappointing start to my trip back to London today.,contact_or_human_escalation_request,complaint_or_human_assistance,UNCERTAIN,AUTO_HANDLE,,none,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_358078,HIGH,"Well done @British_Airways , check in 6 hours before my flight and still my bag can't get to the plane, stuff I need for a business meeting",baggage,baggage,ESCALATE,ESCALATE,other,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_362535,HIGH,"@British_Airways So last month, when BA BA66 to London late, so missed Moscow connection BA downgraded me and  pay £1.52 compensation!!!",refund_or_compensation,refund_or_compensation,ESCALATE,ESCALATE,compensation,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_375254,HIGH,"Thanks to @British_Airways and their “weather” related cancellations in LHR today, I’m down an additional £105 for train from LHR to Leeds",refund_or_compensation,refund_or_compensation,ESCALATE,ESCALATE,compensation,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_379506,HIGH,@British_Airways Terrible service at Heathrow this morning. Now stuck in Madrid trying to get to Havana without going via Med city. HELP?,flight_disruption,flight_disruption,ESCALATE,ESCALATE,other,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_383968,HIGH,Couldn't believe how much the flight attendant from @British_Airways looked like my friend @80569 😂 thanks for being a sport and posing for a photo dude 👊🏻 https://t.co/9bMoTK3KJq,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_40901,HIGH,@British_Airways great flight newcastle to Heathrow  looking forward to next one to JFK New York thank you BA good one.,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_409290,HIGH,"@British_Airways   I flight to London ,my final destination is  Torino.i ask connection of these flights and luggage  to final destination.",baggage,baggage,ESCALATE,ESCALATE,account_specific,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_410381,HIGH,"@British_Airways BA219... 9hr flight, no USB charger slots and a faulty B&amp;W only screen. Disgraceful. Totally disgraceful.😕 https://t.co/ZN5Z7CCiOc",contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,AUTO_HANDLE,,none,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_417056,HIGH,Seats 1K &amp; 2K on @British_Airways 246 GRU-LHR overnight 🥂 cheers! https://t.co/54ng0NhFuP,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_423824,HIGH,"@British_Airways A bad back so I can't sit in the rows by the emergency exits. Need to incline the back rest. My husband, too. Thank you.",seat_or_upgrade,seat_or_upgrade,ESCALATE,ESCALATE,account_specific,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_424561,HIGH,Gate&gt;Customs&gt;Car in less than 7mins! Thanks #T5 and @119137 @British_Airways #keepsmerolling,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_442748,HIGH,@British_Airways  thx for incredible assistance this evening. BA at its finest thank you!,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_466171,HIGH,"Having had no decent response @British_Airways explaining nasty conditions last 2 flights Montpellier Airport, marketing email unappreciated",contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,AUTO_HANDLE,,none,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_477490,HIGH,@British_Airways I will be travelling from South Africa to the UK in December and then back to South Africa in January. Will I be able to bring my laptop as hand luggage on both flights ?,baggage,baggage,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_479193,HIGH,@British_Airways I want to erase a name in my household account (i’m the head of Household) but there is an error message every time.,account_or_security,account_access_or_security,ESCALATE,ESCALATE,account_specific,multi_intent,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_481784,HIGH,@British_Airways happy Halloween to all,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_485276,HIGH,6 minutes to check-in and get through security - love T5 on calm mornings #Heathrow @British_Airways https://t.co/nOmMT4Rwvk,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_487360,HIGH,@British_Airways my flight BA7017 was cancelled last Saturday and BA abandoned me and my family at Bristol Airport. Poor customer care! 😡,flight_disruption,flight_disruption,ESCALATE,ESCALATE,complaint_or_human_judgment,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_495495,HIGH,@British_Airways Got no reply ! No surprise  BA is shit,contact_or_human_escalation_request,complaint_or_human_assistance,UNCERTAIN,UNCERTAIN,complaint_or_human_judgment,none,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_50332,HIGH,@British_Airways morning - I’m travelling to CPT at weekend - can I take golf clubs and case if both fall are under baggage allowance?,baggage,baggage,AUTO_HANDLE,AUTO_HANDLE,,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_505719,HIGH,Gr8 cust serv from @British_Airways 2day. BA2771 delayed by fog we r on plane and being kept well updated Capt answering questions in cabin,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_50753,HIGH,"@British_Airways Hi 17707027 and __email__

Best regards Danny",refund_or_compensation,refund_or_compensation,ESCALATE,ESCALATE,payment_or_refund,truncated_captured,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_50768,HIGH,"@British_Airways we were lied to by one of your members of staff regarding a canceled flight and now it's cost me £190, please contact me",refund_or_compensation,refund_or_compensation,ESCALATE,ESCALATE,compensation,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_508011,HIGH,Awwwww @British_Airways what’s going on?! 364 delayed by 90 mins!!! *pout* Better be some good tea on board at that late hour!! ;-),flight_disruption,flight_disruption,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_509781,HIGH,Looking forward to another Business flight with @British_Airways to Saudi. Do need to follow up on a claim 4 a delay from month ago though!,refund_or_compensation,refund_or_compensation,ESCALATE,ESCALATE,compensation,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_510140,HIGH,Totally agree @British_Airways these guys are a credit to you https://t.co/jywQlsP9QO,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_51310,HIGH,@British_Airways thanks for cancelling the skyflyer solo program .. much appreciated,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_51492,HIGH,"both need our passport checked, one gets a boarding pass, one doesn't? 
@British_Airways ? https://t.co/yLYZf8p1kR",information_or_policy,information_or_policy,AUTO_HANDLE,AUTO_HANDLE,,unclear_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_525809,HIGH,When @British_Airways decides to cancel your flight and you have to drive instead. Thanks! #fail https://t.co/LdL7yNE5in,flight_disruption,flight_disruption,ESCALATE,ESCALATE,compensation,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_534245,HIGH,"Hey @British_Airways, I love you! You have made travelling with my less-able mum to &amp; from Dubrovnik an absolute breeze. Thank you.",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_542508,HIGH,Smooth journey through Terminal 3 at @119137 and now relaxing in the @British_Airways lounge. Next stop #Vegas,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_542898,HIGH,@British_Airways in first lounge T5. Printer not working. Not a single staff member knows what to do. Keep saying not their problem!!!,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,ESCALATE,complaint_or_human_judgment,none,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_547282,HIGH,Don't ever fly with them. They are unprofessional and lost our flights then up charged us to just get a flight back home @British_Airways,refund_or_compensation,refund_or_compensation,ESCALATE,ESCALATE,compensation,multi_intent,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_551416,HIGH,Baby it's #cold outside #todaysoffice on @british_airways flight from #Gothenburg to #London https://t.co/KDk4gnF0lF,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_56521,HIGH,Travelling long-haul with @British_Airways this month? Check out #TecchlersCello on your in-flight entertainment system! https://t.co/GNh4sqEiLo,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,other,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
