example_id,conv_id,target_tweet_id,data_split
BA_577348,577348,2225209,golden_eval
BA_578442,578442,2228768,golden_eval
BA_579921,579921,2233850,golden_eval
BA_584828,584828,2250652,golden_eval
BA_587371,587371,2259020,golden_eval
BA_62081,62081,280768,golden_eval
BA_62154,62154,281053,golden_eval
BA_623315,623315,2383037,golden_eval
BA_627007,627007,2396960,golden_eval
BA_630270,630270,2408326,golden_eval
BA_634124,634124,2422146,golden_eval
BA_644309,644309,2457719,golden_eval
BA_649015,649015,2475146,golden_eval
BA_657039,657039,2503124,golden_eval
BA_660366,660366,2514521,golden_eval
BA_661009,661009,2516748,golden_eval
BA_66334,66334,298606,golden_eval
BA_665195,665195,2530811,golden_eval
BA_666022,666022,2533702,golden_eval
BA_671128,671128,2552121,golden_eval
BA_671532,671532,2553680,golden_eval
BA_674305,674305,2563760,golden_eval
BA_6754,6754,34788,golden_eval
BA_675895,675895,2569326,golden_eval
BA_688279,688279,2612135,golden_eval
BA_688502,688502,2613011,golden_eval
BA_689051,689051,2614997,golden_eval
BA_693943,693943,2631119,golden_eval
BA_693947,693947,2631132,golden_eval
BA_705493,705493,2670675,golden_eval
BA_705984,705984,2672399,golden_eval
BA_707914,707914,2679061,golden_eval
BA_70892,70892,317769,golden_eval
BA_71047,71047,318505,golden_eval
BA_712102,712102,2693729,golden_eval
BA_71213,71213,319268,golden_eval
BA_71387,71387,320175,golden_eval
BA_716033,716033,2707478,golden_eval
BA_716299,716299,2708328,golden_eval
BA_719529,719529,2719333,golden_eval
BA_71985,71985,322731,golden_eval
BA_725131,725131,2739111,golden_eval
BA_729803,729803,2754538,golden_eval
BA_729813,729813,2754563,golden_eval
BA_733794,733794,2768135,golden_eval
BA_737110,737110,2780312,golden_eval
BA_73767,73767,330540,golden_eval
BA_749232,749232,2819996,golden_eval
BA_753573,753573,2836009,golden_eval
BA_755275,755275,2842303,golden_eval
BA_755281,755281,2842325,golden_eval
BA_755802,755802,2844191,golden_eval
BA_756799,756799,2847830,golden_eval
BA_760780,760780,2862301,golden_eval
BA_765259,765259,2877189,golden_eval
BA_766761,766761,2882898,golden_eval
BA_76703,76703,343359,golden_eval
BA_769697,769697,2893538,golden_eval
BA_772744,772744,2904093,golden_eval
BA_781052,781052,2931531,golden_eval
BA_783910,783910,2942315,golden_eval
BA_784998,784998,2945899,golden_eval
BA_785861,785861,2948654,golden_eval
BA_78616,78616,351534,golden_eval
BA_787976,787976,2955812,golden_eval
BA_794863,794863,2977895,golden_eval
BA_796180,796180,2981705,golden_eval
BA_797609,797609,2986423,golden_eval
BA_83067,83067,372293,golden_eval
BA_84220,84220,376701,golden_eval
BA_90675,90675,404202,golden_eval
BA_95508,95508,426482,golden_eval
BA_97522,97522,435329,golden_eval
BA_98911,98911,442006,golden_eval
