example_id,customer_message,current_intent,proposed_intent,intent_review_status,current_escalation,proposed_escalation,escalation_review_status,current_escalation_reason,proposed_escalation_reason,ambiguity_flag,review_priority,review_reason,human_final_intent,human_final_escalation,human_final_reason,human_notes
BA_163041,"@British_Airways trying to call, 15 minute wait time for Silver members! Do you have on-line chat?",contact_or_human_escalation_request,information_or_policy,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,account_specific,,multi_intent,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; ambiguous (multi_intent); multi-intent / secondary intent set; asks for online-chat channel; public contact info (secondary booking_change kept),,,,
BA_167682,".@British_Airways Your crew and customer service people were awesome this past Monday. I was on a perpetually-delayed BA434 to Amsterdam, but BA employees were very friendly, transparent, and apologetic.  Just wanted to say thank you.",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_167696,@British_Airways perhaps you should change the name of your executive club to “elite “club” #downgrade #notfornormaltravelers #unhappy,contact_or_human_escalation_request,non_support_or_acknowledgement,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,unclear_intent,HIGH,"audit deep-dive (§1); taxonomy class under rename/boundary review; ambiguous (unclear_intent); sarcastic venting, no actionable request",,,,
BA_168706,Dear @British_Airways - decided to give you one last try after years of frustration. You have just cancelled my family's flights for next summer and feel that a flight 10hrs later from a different airport is ok to offer instead. Just awful as ever....,flight_disruption,flight_disruption,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,complaint_or_human_judgment,complaint_or_human_judgment,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_177915,@British_Airways Hi. In need of urgent technical assistance with error in name on booking.,booking_change_or_cancellation,booking_change_or_cancellation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,unclear_intent,HIGH,ambiguous (unclear_intent),,,,
BA_181319,"@British_Airways Flew over a week ago WITHOUT my pre-purchased seats.  Only response was to not ""chase"" a response.  Where's my refund?",refund_or_compensation,refund_or_compensation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,payment_or_refund,payment_or_refund,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_183788,@British_Airways  Frequent travellers top tip: elastic laces like wot triathletes use. Increase speed through airport security while only looking a bit silly,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_193533,😍 @British_Airways reasons for delays today the plane is too heavy 2 take off in correct direction without running out of fuel on way back 😂,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review; multi-intent / secondary intent set,,,,
BA_197365,My flight last night into @119137 with @British_Airways. Really nice view of the London Eye and the bridges across the Thames. https://t.co/rJAFeZXCdG,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_207161,Well that was a nice flight to @119137 @British_Airways https://t.co/6gwWQOzfsP,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_231852,@British_Airways v very poor failing to deliver my bags and customer service ignoring my emails DON’T FLY BRITISH AIRWAYS,baggage,baggage,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,other,other,none,HIGH,multi-intent / secondary intent set,,,,
BA_235380,"@British_Airways messed up again! Delayed flight from Linate, 15 kids had 1 hr to transfer at LHR but  didn't let them on US flight. Bravo!",flight_disruption,flight_disruption,KEEP_PROPOSED,UNCERTAIN,UNCERTAIN,KEEP_PROPOSED,other,other,none,HIGH,UNCERTAIN escalation,,,,
BA_236326,@British_Airways Well I've booked with a travel agency and have let them know and they have listed it and booked my flight hopefully you guys get it.,information_or_policy,information_or_policy,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,unclear_intent,HIGH,ambiguous (unclear_intent); later-position conversation example; low confidence,,,,
BA_24151,"Dear @British_Airways How does a flight get cancelled 30mins before taking off on technical grounds? You would’ve known there was a problem long before passengers started checking in &amp; advised accordingly, you have our mobile number. 4 hour wait is unacceptable",flight_disruption,flight_disruption,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,complaint_or_human_judgment,complaint_or_human_judgment,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_241606,"Just back from amazing @42768 cheering on #TeamUK. Plenty of sleep on plane @British_Airways, now ready for @42769 this eve",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_248481,@British_Airways hi. I need to change my passport no. on upcoming flight. Asked for help online but haven't heard back. Can you help please?,booking_change_or_cancellation,booking_change_or_cancellation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_249521,Just a little traffic at @119137 but I'm sure @British_Airways will have us on our way soon. Loving the new safety video btw https://t.co/QIqI8d7PvT,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_255518,@British_Airways Who do i contact to get an international flight  datechanged?,booking_change_or_cancellation,booking_change_or_cancellation,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,multi_intent,HIGH,audit deep-dive (§5); ambiguous (multi_intent); multi-intent / secondary intent set; MMB self-service change is a complete public answer,,,,
BA_261585,"@British_Airways since flight BA0775 is delayed over 2 hours, where can I claim my free food and drink in ARN departures?",flight_disruption,flight_disruption,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,multi_intent,HIGH,audit deep-dive (§5); ambiguous (multi_intent); multi-intent / secondary intent set; delay-care claim location is public info; AUTO_HANDLE matches operational rule,,,,
BA_264086,@British_Airways Hi. I'm unable to to add my Avios Number to my Booking?,booking_change_or_cancellation,booking_change_or_cancellation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,unclear_intent,HIGH,ambiguous (unclear_intent),,,,
BA_269432,Brilliant afternoon watching fashion show with @321095. Fab! Thanks @British_Airways. Such great fun,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_272277,well done @British_Airways landing it low vis at @47102 when @120200 turned back to LGW #NiceOneBA,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_278441,@British_Airways you are a joke!  From seven flights a day to and from Belfast now down to Three or four depends on the day. Just pathetic!,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; route-frequency complaint; public empathy + feedback capture,,,,
BA_288483,Dear @British_Airways Sorry but again problem with my seating. I thought your policy was first come first serves basis? What’s wrong!! 😩,seat_or_upgrade,seat_or_upgrade,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,audit deep-dive (§5); taxonomy class under rename/boundary review; seat reassignment policy answer is public: AUTO_HANDLE consistent,,,,
BA_294773,@British_Airways How can I contact you regarding cancelling a return flight? I can not phone as I live abroad and you do not have an email address???,booking_change_or_cancellation,booking_change_or_cancellation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_321039,@British_Airways Hooray for BA.#ThomasCookAirlines bumped my son in Cancun. BA flying him home !,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_32439,"@British_Airways Hi, when travelling on an international flight, is it fine for me to carry a skateboard as a hand luggage?",baggage,baggage,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,multi-intent / secondary intent set,,,,
BA_32854,Well @British_Airways has definitely gone downhill quite sharply recently. This is the current food situation in the Business Class lounge. 📸 by my Dad. https://t.co/3sXtIgLNUz,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; lounge food complaint + photo; public apology + capture feedback; no account data,,,,
BA_331684,"Filthy seat, careless service and 6500€ wasted on a business class ticket @British_Airways to LA with the new A380. Another disappointment. https://t.co/y8a3WeLnVz",contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,complaint_or_human_judgment,complaint_or_human_judgment,multi_intent,HIGH,"audit deep-dive (§1); taxonomy class under rename/boundary review; ambiguous (multi_intent); multi-intent / secondary intent set; 6,500 EUR business-class complaint; money + investigation, human needed",,,,
BA_334633,@British_Airways flew on your 777 to St Lucia from Gatwick. Big disappointment. Poor food and enterntainment system from the 80’s 👎🏽,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; 777 experience complaint; public apology + feedback,,,,
BA_33704,@British_Airways the worst customer service I’ve experienced! Been on the phone trying to sort out my flight today for an hour and have had no help at all.. disgraceful https://t.co/2BmAoWZocK,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,complaint_or_human_judgment,account_specific,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; multi-intent / secondary intent set; needs today-flight sorting; booking lookup required (reason proposed change),,,,
BA_337964,It seems that @British_Airways is now Ryanair but twice as expensive https://t.co/05qsK5KYAJ,contact_or_human_escalation_request,non_support_or_acknowledgement,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,unclear_intent,HIGH,"audit deep-dive (§1); taxonomy class under rename/boundary review; ambiguous (unclear_intent); sarcastic cost jibe, no request",,,,
BA_349968,@British_Airways what is the best number to call in an emergency!,contact_or_human_escalation_request,information_or_policy,CHANGE_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; contact-number lookup; pure public info,,,,
BA_351856,Hi @British_Airways I'm filing a lawsuit against you guys in the US. Where should I have my lawyer send the paperwork?,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,legal_or_regulatory_risk,legal_or_regulatory_risk,none,HIGH,"audit deep-dive (§1); taxonomy class under rename/boundary review; lawsuit service address query; legal exposure, human handling",,,,
BA_358073,@British_Airways Shockingly-bleak connection from Montego Bay to Kingston. A disappointing start to my trip back to London today.,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,UNCERTAIN,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; UNCERTAIN escalation; vague connection-experience complaint; public probe (alt: non_support / UNCERTAIN),,,,
BA_358078,"Well done @British_Airways , check in 6 hours before my flight and still my bag can't get to the plane, stuff I need for a business meeting",baggage,baggage,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,other,other,none,HIGH,multi-intent / secondary intent set,,,,
BA_362535,"@British_Airways So last month, when BA BA66 to London late, so missed Moscow connection BA downgraded me and  pay £1.52 compensation!!!",refund_or_compensation,refund_or_compensation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,compensation,compensation,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_375254,"Thanks to @British_Airways and their “weather” related cancellations in LHR today, I’m down an additional £105 for train from LHR to Leeds",refund_or_compensation,refund_or_compensation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,compensation,compensation,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_379506,@British_Airways Terrible service at Heathrow this morning. Now stuck in Madrid trying to get to Havana without going via Med city. HELP?,flight_disruption,flight_disruption,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,other,other,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_383968,Couldn't believe how much the flight attendant from @British_Airways looked like my friend @80569 😂 thanks for being a sport and posing for a photo dude 👊🏻 https://t.co/9bMoTK3KJq,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_40901,@British_Airways great flight newcastle to Heathrow  looking forward to next one to JFK New York thank you BA good one.,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_409290,"@British_Airways   I flight to London ,my final destination is  Torino.i ask connection of these flights and luggage  to final destination.",baggage,baggage,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,none,HIGH,multi-intent / secondary intent set,,,,
BA_410381,"@British_Airways BA219... 9hr flight, no USB charger slots and a faulty B&amp;W only screen. Disgraceful. Totally disgraceful.😕 https://t.co/ZN5Z7CCiOc",contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; in-flight product complaint; apology + feedback capture,,,,
BA_417056,Seats 1K &amp; 2K on @British_Airways 246 GRU-LHR overnight 🥂 cheers! https://t.co/54ng0NhFuP,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_423824,"@British_Airways A bad back so I can't sit in the rows by the emergency exits. Need to incline the back rest. My husband, too. Thank you.",seat_or_upgrade,seat_or_upgrade,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,other,account_specific,none,HIGH,audit deep-dive (§5); taxonomy class under rename/boundary review; later-position conversation example; seat selection for medical need; needs PNR,,,,
BA_424561,Gate&gt;Customs&gt;Car in less than 7mins! Thanks #T5 and @119137 @British_Airways #keepsmerolling,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_442748,@British_Airways  thx for incredible assistance this evening. BA at its finest thank you!,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_466171,"Having had no decent response @British_Airways explaining nasty conditions last 2 flights Montpellier Airport, marketing email unappreciated",contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; airport-conditions complaint + marketing-email displeasure; public apology + offer to help,,,,
BA_477490,@British_Airways I will be travelling from South Africa to the UK in December and then back to South Africa in January. Will I be able to bring my laptop as hand luggage on both flights ?,baggage,baggage,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,multi-intent / secondary intent set,,,,
BA_479193,@British_Airways I want to erase a name in my household account (i’m the head of Household) but there is an error message every time.,account_or_security,account_access_or_security,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,multi_intent,HIGH,audit deep-dive (§4); taxonomy class under rename/boundary review; ambiguous (multi_intent); multi-intent / secondary intent set; household-account name-removal error = ACCOUNT MANAGEMENT not security; shows class too narrow,,,,
BA_481784,@British_Airways happy Halloween to all,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_485276,6 minutes to check-in and get through security - love T5 on calm mornings #Heathrow @British_Airways https://t.co/nOmMT4Rwvk,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_487360,@British_Airways my flight BA7017 was cancelled last Saturday and BA abandoned me and my family at Bristol Airport. Poor customer care! 😡,flight_disruption,flight_disruption,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,complaint_or_human_judgment,complaint_or_human_judgment,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_495495,@British_Airways Got no reply ! No surprise  BA is shit,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,UNCERTAIN,UNCERTAIN,KEEP_PROPOSED,complaint_or_human_judgment,complaint_or_human_judgment,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; UNCERTAIN escalation; later-position conversation example; later-position no-reply complaint in racing thread; routing undecidable,,,,
BA_50332,@British_Airways morning - I’m travelling to CPT at weekend - can I take golf clubs and case if both fall are under baggage allowance?,baggage,baggage,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_505719,Gr8 cust serv from @British_Airways 2day. BA2771 delayed by fog we r on plane and being kept well updated Capt answering questions in cabin,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,multi_intent,HIGH,taxonomy class under rename/boundary review; ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_50753,"@British_Airways Hi 17707027 and __email__

Best regards Danny",refund_or_compensation,refund_or_compensation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,payment_or_refund,payment_or_refund,truncated_captured,HIGH,ambiguous (truncated_captured); later-position conversation example; low confidence,,,,
BA_50768,"@British_Airways we were lied to by one of your members of staff regarding a canceled flight and now it's cost me £190, please contact me",refund_or_compensation,refund_or_compensation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,compensation,compensation,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_508011,Awwwww @British_Airways what’s going on?! 364 delayed by 90 mins!!! *pout* Better be some good tea on board at that late hour!! ;-),flight_disruption,flight_disruption,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,multi-intent / secondary intent set,,,,
BA_509781,Looking forward to another Business flight with @British_Airways to Saudi. Do need to follow up on a claim 4 a delay from month ago though!,refund_or_compensation,refund_or_compensation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,compensation,compensation,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_510140,Totally agree @British_Airways these guys are a credit to you https://t.co/jywQlsP9QO,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_51310,@British_Airways thanks for cancelling the skyflyer solo program .. much appreciated,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_51492,"both need our passport checked, one gets a boarding pass, one doesn't? 
@British_Airways ? https://t.co/yLYZf8p1kR",information_or_policy,information_or_policy,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,unclear_intent,HIGH,ambiguous (unclear_intent),,,,
BA_525809,When @British_Airways decides to cancel your flight and you have to drive instead. Thanks! #fail https://t.co/LdL7yNE5in,flight_disruption,flight_disruption,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,compensation,compensation,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_534245,"Hey @British_Airways, I love you! You have made travelling with my less-able mum to &amp; from Dubrovnik an absolute breeze. Thank you.",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_542508,Smooth journey through Terminal 3 at @119137 and now relaxing in the @British_Airways lounge. Next stop #Vegas,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_542898,@British_Airways in first lounge T5. Printer not working. Not a single staff member knows what to do. Keep saying not their problem!!!,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,complaint_or_human_judgment,complaint_or_human_judgment,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; on-site lounge incident; staff escalation beyond a public answer,,,,
BA_547282,Don't ever fly with them. They are unprofessional and lost our flights then up charged us to just get a flight back home @British_Airways,refund_or_compensation,refund_or_compensation,KEEP_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,compensation,compensation,multi_intent,HIGH,ambiguous (multi_intent); multi-intent / secondary intent set,,,,
BA_551416,Baby it's #cold outside #todaysoffice on @british_airways flight from #Gothenburg to #London https://t.co/KDk4gnF0lF,noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
