example_id,conv_id,target_tweet_id,target_author_id,target_created_ts,customer_message,message_chars,message_words,is_first_inbound,target_position,n_inbound_total,conv_tweets_total,n_brand_tweets_total,prior_context,reference_brand_reply,has_brand_reply_after,bucket_primary,bucket_hits,is_conflict,sample_slice,intent,intent_confidence,secondary_intent,resolution_observable,resolution_type,escalation_label,escalation_reason,noise_flag,ambiguity_flag,annotator_notes
BA_57162,57162,259531,177723,2017-10-06 01:38:45+05:30,Thank you @British_Airways for upgrade to first this week - so much more peaceful 😌 https://t.co/5ivOJDyV8f,107,16,True,1,1,2,1,,"@177723 You're welcome, Emma. We know where to expect you with future bookings. ^SR",True,seat_or_upgrade,seat_or_upgrade|noise_or_off_topic,False,main,,,,,,,,,,
BA_62081,62081,280768,182891,2017-10-06 15:56:11+05:30,@British_Airways flight from Aberdeen tonight already showing late...again,74,8,True,1,4,7,3,,"@182891 Hi Rick, we had a cancellation yesterday due to adverse weather conditions. This has caused a small knock-on effect. ^Chris",True,other,other,False,main,,,,,,,,,,
BA_62154,62154,281053,182969,2017-10-06 06:09:54+05:30,@British_Airways is there a link pls for long haul econ menus? LHR-NYC OCT flying with children may need to order Child menu instead. Thx,137,24,True,1,4,9,5,,"@182969 Hi Nicola, I'm afraid we don't publish our menus in advance for our World Traveller cabin. ^Gareth",True,information_or_policy,information_or_policy,False,main,,,,,,,,,,
BA_66334,66334,298606,187155,2017-10-06 22:45:29+05:30,@British_Airways not bad almost on time.,40,6,True,1,2,4,2,,"@187155 We're glad to hear it, Phil. We hope we can see you back on board again soon. ^JR",True,other,other,False,main,,,,,,,,,,
BA_70892,70892,317769,191838,2017-10-07 04:03:31+05:30,"@British_Airways BA 1456 a fated flight tonight? Huge delay due to passengers not turning up, then broken tug, now forward hold lock fault.",139,23,True,1,1,3,2,,"@191838 We're really sorry about this, Adam. You're right to expect a better level of service. Please accept our sincere apologies. 1/2",True,flight_disruption,flight_disruption,False,main,,,,,,,,,,
BA_71047,71047,318505,602816,2017-10-05 09:03:15+05:30,@British_Airways YouBASTARDS owe me $30 for wifi service I never got and $19 for a cup of tea. British Airways can kiss myASS. No more.👎👎👎,138,25,True,2,2,5,3,"[BRAND @ 2017-10-03 18:41:16+05:30] Land just in time for a full English Breakfast – the perfect fuel for a 48-hour tour. 
 https://t.co/bSQkyyQU9o","@602816 Hi there, this is concerning to hear. Could you DM us with some more info about the issues you have. We can look into this for you. ^Cody",True,refund_or_compensation,refund_or_compensation,False,main,,,,,,,,,,
BA_71213,71213,319268,192149,2017-10-07 11:41:48+05:30,It sucks.With Monarch Air going under.Ryan Air cutting their flights &amp; passengers being stranded everywhere Shame on  you @British_Airways https://t.co/tbRbIclm4w,166,20,True,1,1,3,2,,@192149 The CAA made it clear that all Monarch customers would have relief flight organised to match Monarch’s original schedules. Some of the 1/2,True,flight_disruption,flight_disruption,False,main,,,,,,,,,,
BA_71387,71387,320175,192304,2017-10-07 03:08:28+05:30,"@British_Airways help pls..
Want to return from Bcn to Lhr on 5th march.its giving me just one flight and stating all others unavailable",136,23,True,1,6,13,7,,"@192304 Hi Robin, can you DM your reference, email and postal address to see if we can help?  ^Marie https://t.co/L1epyfzysM",True,other,other,False,main,,,,,,,,,,
BA_71985,71985,322731,192873,2017-10-07 19:27:34+05:30,"Always good to see this view on a clear day, courtesy of a smooth flight on British Airways.  London 😊 https://t.co/8WgOoOoGA4",126,21,True,1,1,2,1,,"@192873 That's certainly great to hear, Daisy. There's been high winds early today so good to get your positive comments. ^Julie",True,other,other,False,main,,,,,,,,,,
BA_73767,73767,330540,194690,2017-10-07 20:08:08+05:30,My family have booked flights with @British_Airways and car hire with @144994 in May 2018 as a package. Can they just cancel the car booking?,141,25,True,1,5,10,5,,"@194690 Hi there, you would need to call our BA holidays team on 0344 493 0787 option 1 
(calls charged at local rate) for assistance. ^Tom",True,booking_change_or_cancellation,booking_change_or_cancellation,False,main,,,,,,,,,,
BA_76703,76703,343359,197742,2017-10-13 19:56:11+05:30,Ok @British_Airways your new inflight safety video is funny. Still too many people in your North T5 lounge though,113,19,True,1,1,2,1,,"@197742 Luke, we believe these two may be linked. We hope the lounge experience hasn’t caused too many issues for you ^Al.",True,other,other,False,main,,,,,,,,,,
BA_78616,78616,351534,199622,2017-10-08 15:10:53+05:30,"@British_Airways Hi there, trying to claim missing Avios on Car Rental made on https://t.co/ZHQNpxH7Zg (1/2)",108,15,True,1,1,3,2,,"@199622 Hi Paul, we can pass your details to our Executive Club team to look into. DM us your Executive Club number, email address, 1/2",True,refund_or_compensation,refund_or_compensation,False,main,,,,,,,,,,
BA_83067,83067,372293,204201,2017-10-09 03:26:29+05:30,Hey @British_Airways I left my Philips wireless headphones on the 6:05pm Arlanda-LHR seat 36 B.what are chances of locating them for return?,140,22,True,1,1,3,2,,"@204201 Hi Jack, sorry to hear you've left your personal belongings on board. Please click on 1/2",True,seat_or_upgrade,seat_or_upgrade|contact_or_complaint|information_or_policy,True,borderline,,,,,,,,,,
BA_84220,84220,376701,205363,2017-10-09 05:06:51+05:30,"When you fly @British_Airways these days, you're treated to security infos by, amongst others, @1765. 
Well done, @117823.",122,18,True,1,1,2,1,,"@205363 We're glad you approve, Peter. Thanks for your feedback. ^Lolly",True,account_or_security,account_or_security,False,main,,,,,,,,,,
BA_90675,90675,404202,123240,2017-10-10 03:13:07+05:30,@British_Airways I hope it haven’t dropped him in it... https://t.co/2HTKCvG54M,79,10,False,3,2,3,1,"[CUSTOMER @ 2017-10-09 23:20:12+05:30] Is the @VirginTrains automated announcer the same guy who does @British_Airways?
[BRAND @ 2017-10-10 02:43:01+05:30] @123240 If so, Alex, this could be a case of ""moonlighting"" and certainly frowned upon by the company! ^David S",,False,other,other,False,main,,,,,,,,,,
BA_95508,95508,426482,215471,2017-10-10 17:36:02+05:30,Why is that only half of your website has been updated to the new design @British_Airways? Surely you would launch a full update.,129,23,True,1,1,2,1,,"@215471 Hi Matthew, we're still working on it and testing parts of our website. We hope this can be updated soon. ^JR",True,website_or_app_issue,website_or_app_issue,False,main,,,,,,,,,,
BA_97522,97522,435329,218406,2017-10-10 21:53:25+05:30,@British_Airways Hey I’m having trouble at the moment logging into ‘manage my booking’ at the moment. Any ideas? 1/2,116,19,True,1,2,4,2,,"@218406 We can take a look for you. We're now following you. Please follow us back and send DM with your full name, booking reference and 1/2",True,website_or_app_issue,website_or_app_issue,False,main,,,,,,,,,,
BA_98911,98911,442006,219806,2017-10-11 13:09:41+05:30,"@British_Airways Morning!I wanted to change my flight last night, but couldn't.Logged on this morning &amp; it's now R1000 more expensive. Help!",144,21,True,1,4,10,6,,@219806 Sorry you weren't able to change your booking last night. 1/2,True,booking_change_or_cancellation,booking_change_or_cancellation,False,main,,,,,,,,,,
BA_105364,105364,468000,226431,2017-12-01 06:22:55+05:30,@British_Airways not the best performance at JFK flight BA113 from Heathrow,75,11,True,1,3,6,3,,"@226431 Oh, dear! What happened, Andy? ^Beth S.",True,other,other,False,main,,,,,,,,,,
BA_106562,106562,472974,227634,2017-12-01 14:51:25+05:30,"@British_Airways Can you please give an honest reason for the delay on BA8704 LCY to EDI? No crew now an tech issue. Oh, and departure board still says now leaving at 9am??",172,32,True,1,2,4,2,,"@227634 Hi Ian, we won't know the reason for the delay until our systems update in 24 hours.  I can see the new departure time is 09:45.  We hope you're on your way very soon. ^Ems",True,flight_disruption,flight_disruption,False,main,,,,,,,,,,
BA_110245,110245,488465,231300,2017-12-01 15:06:08+05:30,@British_Airways what's the point in being an executive member when all your going to do is take away our points without any notice?! #crap #service,148,25,True,1,2,4,2,,"@231300 Hi Bhavin, if there is no activity within your account for 36 months then your Avios will expire. We do send an email to the account we hold to make you aware that you're coming up to this time. ^Ems",True,information_or_policy,information_or_policy,False,main,,,,,,,,,,
BA_120790,120790,526453,241828,2017-12-01 22:41:47+05:30,"Well @British_Airways that was fab. Alistair &amp; Cordelia were very hospitable and welcomed me on to the flight deck for a chat despite having an AMS &amp; back to go. Please pass on my thanks to all crew (BA1343).
Great flight. https://t.co/ZiTjjkHv1k",254,42,True,1,1,2,1,,"@241828 We're glad you enjoyed the experience, George. We'll be sure to pass on your thanks. ^Teresa",True,noise_or_off_topic,noise_or_off_topic,False,main,,,,,,,,,,
BA_122456,122456,533176,243520,2017-12-02 07:21:03+05:30,@British_Airways can I use an expired passport for a domestic flight? (been expired for a few months),101,17,True,1,1,2,1,,"@243520 Hi there. You'd need a valid form of photographic I.D. If you're going to use a passport, it can't be an expired one. ^Paul",True,other,other,False,main,,,,,,,,,,
BA_123629,123629,537836,244675,2017-12-02 16:04:23+05:30,"@British_Airways Good morning, what is the process for receiving information on air miles?",90,13,True,1,1,2,1,,"@244675 Hi, Gerry. What information are you looking for? Here is a link that may help: https://t.co/seZQFvmi49 ^Pip",True,information_or_policy,information_or_policy,False,main,,,,,,,,,,
BA_125782,125782,545632,160880,2017-12-02 22:24:41+05:30,"Started my day in France, hit Switzerland, then France &amp; now in #London @British_Airways and my fav Lounge https://t.co/tcBD1QngFE",134,19,True,1,1,2,1,,"@160880 Hi Jon, I hope you enjoy the lounge ! ^Tom",True,other,other,False,main,,,,,,,,,,
BA_131149,131149,564294,252167,2017-12-03 00:44:09+05:30,"@British_Airways Hi there, can I ask a member of customer service to contact me with an urgent query regarding a change in flight times that I have not been contacted about. Thanks",180,32,True,1,1,2,1,,"@252167 Hi Niamh.  We're sorry to hear your flight has been changed.  DM your booking ref, email, home address with area code and telephone number.  We'll take a look and then give you a call if this issue needed fixing. ^Neil",True,contact_or_complaint,contact_or_complaint|noise_or_off_topic,False,main,,,,,,,,,,
BA_132217,132217,567881,253205,2017-12-03 02:28:19+05:30,"@British_Airways my Executive Club Account has been hacked, pleased advise. Thank you.",86,12,True,1,2,3,1,,"@253205 Hi Richard.  We're very concerned to hear this.  DM your Executive Club number, email, home address with post code that is registered to your account and your date of birth.  We'll then pass your details to the Executive Club for you. ^Neil",True,account_or_security,account_or_security|noise_or_off_topic,False,main,,,,,,,,,,
BA_135900,135900,580842,256848,2017-12-03 17:42:06+05:30,@British_Airways It's not giving me the option of DMing you as you don't follow me?,83,15,False,3,2,4,2,"[CUSTOMER @ 2017-12-03 16:04:36+05:30] @British_Airways hi, I tried to reserve price for 72 hours for £20, but I never got an email or booking code or anything. So I had to book flight from scratch later that day. I see you’ve still taken the £20 off me though!
[BRAND @ 2017-12-03 17:36:03+05:30] @256848 This is concerning to hear, Emlyn. If you could DM us your original flight details, new booking ref, email and contact number, we'll look into this for you. ^David","@256848 Hi Emlyn, we're following you now. It should let you DM us. Thanks. ^Raj",True,other,other,False,main,,,,,,,,,,
BA_147482,147482,623658,171454,2017-10-04 18:27:02+05:30,@British_Airways flying from JNB with a friend whose ID stolen.  Have police case# and certified copy.  You won’t let her board.  Help,134,22,True,1,4,6,2,,"@171454 Apologies for our late reply, Malcolm. We're unable to accept customers without the correct travel documents. We hope your friend 1/2",True,baggage,baggage,False,main,,,,,,,,,,
BA_150929,150929,638576,271448,2017-10-05 05:10:33+05:30,@British_Airways I have a tkt for a flt 2moro fm BHD-LHR AT 0645 which allows me to change the time of flight on the same day if there is1/3,140,29,True,1,1,3,2,,"@271448 Could we give you a call please, Ryan? We'll need your booking ref, full name, email and contact number. Could you also let us know the 1/2",True,information_or_policy,information_or_policy,False,main,,,,,,,,,,
BA_152445,152445,644389,272955,2017-10-27 19:06:14+05:30,"@British_Airways really disappointed with the level of customer support, just no care unless you’re a club member",113,17,True,1,1,3,2,,"@272955 Hi David, is there anything we can help with? If so, please DM the full details with any references and your email, full address and 1/2",True,other,other,False,main,,,,,,,,,,
BA_154364,154364,651004,274821,2017-11-08 18:37:40+05:30,@British_Airways Is it possible to change the return date for one person on my booking and not the other?,105,19,True,1,4,7,3,,"@274821 Hi Gabi, through Manage My Booking it should ask which passenger you'd like to select to make changes to. 1/2",True,information_or_policy,information_or_policy,False,main,,,,,,,,,,
BA_155506,155506,655639,275974,2017-11-23 00:17:52+05:30,@British_Airways won't let me check in online for my flight tomorrow morning. Help a brother out,96,16,True,1,2,4,2,,"@275974 Hi there, if you're unable to check in online, you will need to check in at the airport. ^Helen",True,website_or_app_issue,website_or_app_issue,False,main,,,,,,,,,,
BA_163041,163041,683726,283186,2017-10-05 22:07:22+05:30,"@British_Airways trying to call, 15 minute wait time for Silver members! Do you have on-line chat?",98,16,True,1,4,6,2,,"@283186 Hi James, we can certainly help you change your flight. Please DM your full name, booking reference, email address, postal address, and",True,contact_or_complaint,contact_or_complaint|information_or_policy,True,borderline,,,,,,,,,,
BA_163928,163928,686826,283992,2017-10-05 20:58:20+05:30,@British_Airways sitting in Munich flight is delayed and no one says anything. Previous flight was two hours delayed. Becoming typical,134,20,True,1,2,4,2,,"@283992 Hi Neil, sorry to hear your flight has been delayed. Please click on the following link for regular updates https://t.co/Md01pB7Av4.^Jo",True,flight_disruption,flight_disruption|contact_or_complaint,True,borderline,,,,,,,,,,
BA_167682,167682,702171,287685,2017-11-23 21:29:02+05:30,".@British_Airways Your crew and customer service people were awesome this past Monday. I was on a perpetually-delayed BA434 to Amsterdam, but BA employees were very friendly, transparent, and apologetic.  Just wanted to say thank you.",234,35,True,1,1,2,1,,"@287685 We're glad to hear you had great service, J. If you'd like to pass on your thanks in a more formal manner, you can do so here https://t.co/XsFvk7mfkC ^Paul",True,flight_disruption,flight_disruption|noise_or_off_topic,False,main,,,,,,,,,,
BA_167696,167696,702203,287699,2017-11-23 19:28:01+05:30,@British_Airways perhaps you should change the name of your executive club to “elite “club” #downgrade #notfornormaltravelers #unhappy,134,17,True,1,1,2,1,,@287699 Is there something we can help you with this evening? ^Julie,True,booking_change_or_cancellation,booking_change_or_cancellation,False,main,,,,,,,,,,
BA_168706,168706,705392,288626,2017-11-23 22:10:35+05:30,Dear @British_Airways - decided to give you one last try after years of frustration. You have just cancelled my family's flights for next summer and feel that a flight 10hrs later from a different airport is ok to offer instead. Just awful as ever....,251,44,True,1,1,2,1,,"@288626 Hi Owain, we're sorry to hear your flight has been cancelled. We can take a look at this for you if you can send us a DM with some more info. Please include your full name, booking reference and email address for security purposes. Thanks. ^JulieR",True,flight_disruption,flight_disruption|booking_change_or_cancellation|contact_or_complaint,True,borderline,,,,,,,,,,
BA_174566,174566,728062,294415,2017-10-06 20:34:36+05:30,"@British_Airways Two flights in a row my baggage has not come on the same flight as me. Am a loyal customer, but not sure this can again.",137,27,True,1,1,2,1,,"@294415 This is disappointing to hear, Daniel, we will get your bag back to you ASAP ^Al.",True,baggage,baggage,False,main,,,,,,,,,,
BA_175984,175984,734566,295757,2017-11-25 13:10:09+05:30,"@British_Airways Possible bug on your website? Booked 2 awards for 2 pax each, both times confirmation page said I’ll get a confirmation e-mail to e-mail address of person 1 but it went to person 2 in the booking.",213,38,True,1,1,2,1,,"@295757 Thanks for bringing this to our attention, Markus. We can take a look into this. Please DM us your booking reference, Executive Club number, email address and contact number. ^Linda",True,website_or_app_issue,website_or_app_issue,False,main,,,,,,,,,,
BA_177915,177915,742566,297551,2017-10-07 01:08:55+05:30,@British_Airways Hi. In need of urgent technical assistance with error in name on booking.,90,14,True,1,1,3,2,,"@297551 Hi Joseph, we'll certainly look into this for you. Please DM your full name, booking reference, email address, postal address, and the",True,website_or_app_issue,website_or_app_issue,False,main,,,,,,,,,,
BA_179834,179834,750629,124723,2017-10-11 20:11:43+05:30,@British_Airways Do you sell model aircraft on board? Specifically the A319 or A320. NOTHING shows on the HighLife online store. Thanks,135,21,True,1,4,7,3,,"@124723 Hi Mark, sorry these items are not easy to find. Please click on the following link to order https://t.co/J4kalkfu31^Jo",True,website_or_app_issue,website_or_app_issue|noise_or_off_topic,False,main,,,,,,,,,,
BA_181319,181319,756601,300816,2017-10-11 21:10:10+05:30,"@British_Airways Flew over a week ago WITHOUT my pre-purchased seats.  Only response was to not ""chase"" a response.  Where's my refund?",135,21,True,1,3,4,1,,"@300816 Hi Donna, please DM us your booking reference, telephone number, email and postal address.  We can check on this for you.  ^Jm",True,seat_or_upgrade,seat_or_upgrade|refund_or_compensation,True,borderline,,,,,,,,,,
BA_183788,183788,766186,303111,2017-11-25 14:17:30+05:30,@British_Airways  Frequent travellers top tip: elastic laces like wot triathletes use. Increase speed through airport security while only looking a bit silly,157,22,True,1,1,2,1,,"@303111 Great little tip, Matt. Every little helps! ^Linda",True,account_or_security,account_or_security,False,main,,,,,,,,,,
BA_193533,193533,807551,312439,2017-10-12 23:25:42+05:30,😍 @British_Airways reasons for delays today the plane is too heavy 2 take off in correct direction without running out of fuel on way back 😂,140,26,True,1,4,7,3,,"@312439 Hi Tom, which flight were you on? We're sorry for the delay to your flight. ^Sam",True,noise_or_off_topic,noise_or_off_topic,False,main,,,,,,,,,,
BA_197365,197365,823312,316127,2017-10-13 03:29:29+05:30,My flight last night into @119137 with @British_Airways. Really nice view of the London Eye and the bridges across the Thames. https://t.co/rJAFeZXCdG,150,22,True,1,1,2,1,,"@316127 What a great spectacle, Conrad. The best seat in the house. ^SR",True,other,other,False,main,,,,,,,,,,
BA_207161,207161,864704,146810,2017-10-20 22:48:15+05:30,Well that was a nice flight to @119137 @British_Airways https://t.co/6gwWQOzfsP,79,10,True,1,1,2,1,,"@146810 That’s great to hear Stewart, we look forward to welcoming you onboard again soon. ^Kieran",True,other,other,False,main,,,,,,,,,,
BA_213215,213215,888938,331050,2017-10-13 19:05:00+05:30,"@British_Airways is there something wrong regarding my flight from Aarhus to Sthlm, Bromma today at 1655? Ba8291",112,17,True,1,1,2,1,,"@331050 Hi Erik, we can see your flight has now departed but there was a route change. We're really sorry for the inconvenience. ^Sam",True,information_or_policy,information_or_policy,False,main,,,,,,,,,,
BA_216956,216956,904111,334640,2017-10-26 14:33:52+05:30,"@British_Airways Good morning, it's been one month I cancelled my flight, still not refunded for taxes. Could you please check ?",128,21,True,1,2,3,1,,"@334640 Good morning, Laura-Mai. Could you please DM us your booking reference and email address. We can take a look for you. ^Alex C",True,refund_or_compensation,refund_or_compensation|flight_disruption|booking_change_or_cancellation,True,borderline,,,,,,,,,,
BA_231852,231852,962911,348504,2017-10-13 22:20:49+05:30,@British_Airways v very poor failing to deliver my bags and customer service ignoring my emails DON’T FLY BRITISH AIRWAYS,121,19,True,1,1,4,3,,"@348504 Hi Said, it sounds like you've had a bad experience. Are your bags still missing? If so, you can check for any updates at 1/3",True,baggage,baggage,False,main,,,,,,,,,,
BA_235380,235380,976985,351717,2017-10-21 22:34:17+05:30,"@British_Airways messed up again! Delayed flight from Linate, 15 kids had 1 hr to transfer at LHR but  didn't let them on US flight. Bravo!",139,25,True,1,1,2,1,,@351717 I'm sorry to hear the kids trip was disrupted. Did they manage to get their connection rebooked? ^Linds,True,flight_disruption,flight_disruption,False,main,,,,,,,,,,
BA_236326,236326,981059,352613,2017-10-14 05:58:37+05:30,@British_Airways Well I've booked with a travel agency and have let them know and they have listed it and booked my flight hopefully you guys get it.,149,27,False,3,2,4,2,"[CUSTOMER @ 2017-10-13 17:10:47+05:30] @British_Airways do you have halal in flight meals from Singapore to Heathrow?
[BRAND @ 2017-10-13 23:43:44+05:30] @352613 Hi Umar, we do have a variety of special meals to cater for dietary requirements.  You do need to notify us in advance of any requirements.","@352613 Hi Umar. If you DM your booking reference, email and contact number we'll take a look for you. ^Anthony",True,other,other,False,main,,,,,,,,,,
BA_241606,241606,1003082,327266,2017-10-22 12:23:17+05:30,"Just back from amazing @42768 cheering on #TeamUK. Plenty of sleep on plane @British_Airways, now ready for @42769 this eve",123,20,True,1,1,2,1,,"@327266 That’s great to hear Shane, we hope you had a great flight. ^Kieran",True,noise_or_off_topic,noise_or_off_topic,False,main,,,,,,,,,,
BA_248481,248481,1029841,363665,2017-10-12 22:13:55+05:30,@British_Airways hi. I need to change my passport no. on upcoming flight. Asked for help online but haven't heard back. Can you help please?,140,24,True,1,1,3,2,,"@363665 Hi Hayley, can you DM your booking reference, full name and contact number? Please also include the passport number, expiry date (1/2)",True,website_or_app_issue,website_or_app_issue|booking_change_or_cancellation,True,borderline,,,,,,,,,,
BA_249521,249521,1033943,364608,2017-10-22 22:18:44+05:30,Just a little traffic at @119137 but I'm sure @British_Airways will have us on our way soon. Loving the new safety video btw https://t.co/QIqI8d7PvT,148,24,True,1,1,2,1,,"@364608 We hope you weren't stuck in the queue for too long, Sean! We're pleased you enjoyed the new safety video! ^Beth",True,other,other,False,main,,,,,,,,,,
BA_252288,252288,1045747,367220,2017-10-23 15:17:52+05:30,@British_Airways Currently waiting for a delayed flight to Kuala Lumper. To catch a BA flight to the U.K. at 23:10 (BA0034)....,127,21,True,1,4,6,2,,"@367220 Can you clarify what flight you're waiting for, Marcus? The flight to Kuala Lumpur today isn't currently showing as delayed. ^Leanne",True,flight_disruption,flight_disruption,False,main,,,,,,,,,,
BA_252735,252735,1047558,367598,2017-10-23 02:29:44+05:30,@British_Airways do your LHR-LAX flights have WiFi and power outlets in all seats? Thanks,89,14,True,1,1,2,1,,"@367598 Hi Adam, this is something we're working on for the future, watch this space! ^Karen",True,seat_or_upgrade,seat_or_upgrade|noise_or_off_topic,False,main,,,,,,,,,,
